"","exp","valence","arousal","dominance","liking","familiarity","VAQ"
"607",4,5,3.1,8.7,5.1,1,1
"608",15,6.9,6,8.6,7.1,1,2
"609",29,3,6,5.8,7.3,5,3
"610",22,6.8,2.9,7,5.8,1,3
"611",24,4.3,3,6.6,9,5,3
"612",5,5,1.3,8.8,5,2,1
"613",2,9,6.9,3.4,9,5,1
"614",23,2.7,2.2,7.8,1,1,3
"615",1,6.4,2.9,9,3.7,1,1
"616",22,3.8,7.9,1.9,7.3,1,3
"617",25,3.8,3.3,7.4,9,1,3
"618",18,7.2,1.6,9,7.1,4,2
"619",20,6.5,4,7.6,6.2,1,2
"620",27,5,2.6,8.5,5,1,3
"621",30,3.5,2.1,9,2,3,3
"622",17,5.8,1.9,9,6,1,2
"623",24,1.5,7.2,2.7,9,4,3
"624",15,6.9,3.9,7.3,6.4,1,2
"625",36,2.8,1.9,8.9,1.8,1,4
"626",21,3.1,2,9,4,1,3
"627",38,3.8,1.7,8.8,2.9,1,4
"628",14,8.7,7,2.8,9,4,2
"629",12,7,6,5.3,7.3,1,2
"630",34,4.1,2.3,9,1,1,4
"631",5,7.9,7.2,3.3,9,4,1
"632",31,3.1,4,8,5.7,1,4
"633",13,7.1,5.7,4.4,7.5,1,2
"634",26,3.1,2.1,8.2,3,1,3
"635",10,3.6,3.2,7.9,3.2,1,1
"636",29,3.6,3.9,7.6,7.2,3,3
"637",4,6.6,3.5,7.8,6.4,1,1
"638",37,3,2,9,1,1,4
"639",39,3.1,1.7,8.9,1.7,1,4
"640",33,4.6,1,9,1,1,4
"641",11,7.3,4.4,6.3,7.1,1,2
"642",32,6.3,6,6.7,5.7,5,4
"643",28,4,3.5,7.2,6.2,1,3
"644",6,8.5,7.3,3.2,9,4,1
"645",8,7.1,5.9,3.6,9,1,1
"646",19,6.9,3.8,6.2,5.7,1,2
"647",9,7,6.6,3.7,8.9,4,1
"648",40,4.2,1.9,8.3,1.9,1,4
"649",7,8.2,8.1,1.4,9,4,1
"650",3,6.9,6.6,4.1,7.5,1,1
"651",22,6,2.5,7.1,6.9,2,3
"652",28,6.3,2.3,6.8,6.2,2,3
"653",24,5.9,3.5,6.7,3.1,4,3
"654",23,5.3,2.7,7,3.5,3,3
"655",19,6.5,2.9,6.7,6.8,4,2
"656",32,6,3.5,6.8,5.7,3,4
"657",33,6.8,3.7,6.7,6.9,3,4
"658",27,4,3.1,6.3,3.1,3,3
"659",29,5.8,2.4,7.3,5.8,3,3
"660",8,6.8,2.6,6.9,6.2,5,1
"661",26,7.1,1.5,6.2,7.6,2,3
"662",39,6.7,3.7,6.7,6.9,3,4
"663",9,7.3,3.2,6.2,8.4,5,1
"664",21,5,3,6.7,5.1,2,3
"665",4,5.9,3,6.3,6.6,5,1
"666",14,6,2.4,6.3,5.7,4,2
"667",10,7.4,4.6,5.9,8.4,4,1
"668",13,6.6,2,6.8,7,2,2
"669",34,3,3.9,6.2,1.9,2,4
"670",38,6.4,3,6.9,6.9,2,4
"671",40,6.6,3,7,7,3,4
"672",11,7,2.8,6.6,6.6,2,2
"673",36,6.9,3.7,6.6,7.7,4,4
"674",1,5.6,2.8,6.7,4.9,4,1
"675",37,3.6,4.5,5.8,3,3,4
"676",15,5.6,2.9,6.8,6.4,2,2
"677",25,5,2.6,6.9,4.4,2,3
"678",17,6.4,2.4,7.2,6.7,3,2
"679",6,6.9,3.4,6.5,6.8,4,1
"680",31,5.2,3,6.8,4.4,2,4
"681",5,5.2,4,5.3,7.2,4,1
"682",3,6.5,2.6,6.4,6.9,4,1
"683",20,5,2.5,6.8,3.7,2,2
"684",12,6.8,2.3,6.9,7.1,2,2
"685",18,7.5,1.7,6.7,8.3,5,2
"686",2,7.3,3.5,6.7,8,5,1
"687",30,5.4,2.9,6.8,6.7,3,3
"688",7,6.6,2.9,6.6,7.5,5,1
"689",25,4.5,5.6,5.3,4.2,2,3
"690",23,5,5,9,1,1,3
"691",19,7.8,6,6,8,5,2
"692",27,4.9,5.9,5.4,3.7,1,3
"693",36,3.8,6.9,3.1,1,1,4
"694",15,8.6,2.7,6.6,7.3,5,2
"695",4,8.2,8.2,6,8.6,5,1
"696",11,9,6,7.9,9,2,2
"697",9,8.4,5.9,5.2,9,5,1
"698",20,8.7,5.4,6.7,9,2,2
"699",30,2.9,3.4,4,7.1,4,3
"700",13,8,5.1,4.9,9,2,2
"701",3,8,6.9,3.4,9,5,1
"702",8,7.6,6.8,3.2,9,5,1
"703",31,4,4.3,6.7,1,1,4
"704",12,7.1,3.5,7.9,7.4,2,2
"705",28,5,2.5,8,2,1,3
"706",26,5,2.1,7.9,3.3,1,3
"707",33,1.8,7.4,3.8,1,1,4
"708",34,5.7,8.2,2.1,6.1,1,4
"709",39,1.7,6,6.9,1,1,4
"710",6,6.6,7.2,2.9,6.9,1,1
"711",32,4.7,4.3,6.7,2.3,1,4
"712",38,2,4.8,6.2,1,1,4
"713",21,5,1.8,8.4,3.1,1,3
"714",24,2.8,3.7,3.3,6.7,5,3
"715",22,6.4,3.1,3.6,6.6,1,3
"716",29,3,6.1,3.3,6.8,5,3
"717",5,7.9,8,2.5,8.6,5,1
"718",18,9,3.5,6.3,9,5,2
"719",2,5,6.6,4.1,3.8,1,1
"720",10,3.7,7,4.1,2,1,1
"721",17,5,2.7,8.4,5,1,2
"722",37,3.1,6.5,3.4,1,1,4
"723",7,9,8.4,1.9,8.7,5,1
"724",40,2,6.5,3.6,1,1,4
"725",14,8.3,3.7,5.5,7.8,5,2
"726",1,7.2,6.8,3.7,7.4,5,1
"727",36,4.1,2.9,5.8,2,2,4
"728",23,3.8,3.5,3.5,1.9,1,3
"729",28,3.3,2.5,2.5,2.7,1,3
"730",33,5,3,5.9,5,2,4
"731",30,2.2,2.8,2,1,3,3
"732",29,5,5,6.6,6.9,5,3
"733",32,3.2,3.3,5,1,1,4
"734",19,9,5,5,9,5,2
"735",2,6.7,2.9,5,6.5,1,1
"736",8,7.1,3.1,5,8.9,4,1
"737",37,1.9,5.9,6.2,1,1,4
"738",3,7.4,6.2,5.9,8.9,5,1
"739",11,8.3,4.2,5,9,1,2
"740",1,7.3,2.7,5,7.6,5,1
"741",13,6.4,2.2,5,6.5,1,2
"742",6,5,5,5,7,1,1
"743",10,5,5,5,5,1,1
"744",15,6.3,2.6,5,6.8,1,2
"745",34,3.3,4.1,5,2.5,1,4
"746",18,7.3,5,5,7.8,5,2
"747",7,5.6,5,5,6.4,5,1
"748",27,6.3,3.9,5,6.8,2,3
"749",22,6.5,4.1,5,6.3,1,3
"750",20,6.3,3.8,4.2,5.6,2,2
"751",17,6.5,5,5,6.4,3,2
"752",40,5,3.4,5,3.6,1,4
"753",25,5,2.9,5,5,1,3
"754",31,4.2,3.8,5.9,1.9,1,4
"755",21,4.5,2.7,5,3.5,1,3
"756",12,6.2,2.4,5,6.7,1,2
"757",39,4,5,5,2.1,1,4
"758",24,3.9,3.2,5,5.7,4,3
"759",5,6.1,5,6.1,7,4,1
"760",26,5,2.4,5,3.4,1,3
"761",14,6.7,3.5,4.3,6.4,5,2
"762",38,3.3,5,4,2.3,1,4
"763",9,6.7,5,5,7.4,4,1
"764",4,7.1,5.5,5,7.3,5,1
"765",11,7.5,6.4,3.8,7.4,1,2
"766",36,3.9,7,3.9,4.8,1,4
"767",38,2.7,6.4,2.5,2.2,1,4
"768",28,5,2.2,8.3,3.6,1,3
"769",21,5,1,7.7,5,1,3
"770",40,5.9,3.9,6.6,6.4,1,4
"771",20,7.9,6.4,3.6,9,5,2
"772",19,7.3,6,6.4,7.1,1,2
"773",13,8.3,3.8,3.7,8.3,1,2
"774",37,1,7.2,1.9,1,1,4
"775",1,7.7,7.6,2.9,8.3,5,1
"776",14,7.9,3.5,6.7,9,5,2
"777",22,5.7,1.8,6.5,4.8,1,3
"778",6,6,6.6,7,5.7,4,1
"779",3,7.3,6,7.1,9,5,1
"780",2,6,3.6,7,6.1,3,1
"781",26,5.1,1,6.7,6,1,3
"782",33,4.9,3.2,7.5,3.2,1,4
"783",25,4.2,1,6.5,6,5,3
"784",39,3.2,3.4,6.9,1.7,1,4
"785",29,6.2,3,6.7,9,4,3
"786",24,3.6,3.1,8.2,7.5,5,3
"787",12,7.1,2,6.7,9,1,2
"788",27,6.9,1,6.8,7.1,3,3
"789",23,3.4,6,3.7,4,1,3
"790",32,2.1,6,2.9,1.2,2,4
"791",4,6.6,6,7.8,7.8,4,1
"792",18,7.4,2.1,6.8,7.7,5,2
"793",8,8.2,6.6,3.2,8.3,5,1
"794",5,7.7,6.8,2.4,8.1,5,1
"795",34,3.2,6.7,3.2,2.4,1,4
"796",15,6.9,1,3.7,7.5,1,2
"797",17,5,1.7,7.8,3.5,1,2
"798",10,3.5,6.1,4,2.7,1,1
"799",31,2.5,2.5,5.7,1,1,4
"800",7,5.1,3.3,7.4,2.5,2,1
"801",30,3.1,7.1,3.1,1,4,3
"802",9,7.3,5.8,6.5,9,5,1
"803",38,1,9,1,1,1,4
"804",17,5,1,9,4.9,1,2
"805",2,7,6.1,8.3,7.9,4,1
"806",24,4.3,1,6.7,6.9,4,3
"807",14,8.2,1,9,9,5,2
"808",6,4.1,6.2,6.9,2.8,1,1
"809",12,9,1,9,9,1,2
"810",3,9,6.3,9,9,5,1
"811",33,1,9,2.2,1,1,4
"812",15,5.7,3.1,6.6,6.4,1,2
"813",22,7.8,2.1,9,8.3,1,3
"814",7,5,5,8.1,5.1,4,1
"815",13,6.9,1,9,7,1,2
"816",29,2.2,6.4,2.7,8,5,3
"817",20,9,2.7,1,9,5,2
"818",5,5,2.2,9,5,3,1
"819",39,1,9,1,1,1,4
"820",32,1,6.4,3.8,3.2,1,4
"821",4,8.3,7.1,7.5,7.1,3,1
"822",40,2.8,5.7,3.7,2.7,1,4
"823",28,3.4,1.6,7.9,5.4,1,3
"824",27,6.8,1,8.9,7.7,1,3
"825",36,2,7.2,4,2.4,1,4
"826",11,9,1.3,9,9,1,2
"827",34,2.6,7.2,3.1,3.8,1,4
"828",26,8.7,1,9,8.2,1,3
"829",23,2.9,5,5.2,1,1,3
"830",10,3.3,6.8,4.1,1.4,1,1
"831",37,1,8.5,1,1,1,4
"832",19,6.2,3.8,7.8,7,4,2
"833",31,1.7,8.8,1.9,1,1,4
"834",21,3.3,1,7.3,4.9,1,3
"835",30,3.2,6,4.3,4,2,3
"836",25,4.3,1,8.9,6.4,4,3
"837",8,6.8,5.2,8.7,5.9,4,1
"838",1,7.6,6.7,6,7,4,1
"839",18,9,1.2,9,8.1,4,2
"840",9,7.9,4.5,8.4,7.2,3,1
"841",25,4.8,1,8.2,5,1,3
"842",18,6.7,5.9,7,5.8,3,2
"843",6,8.6,5.9,5.1,8.4,4,1
"844",26,5,1.9,7.7,4.2,1,3
"845",23,4.3,4.4,6.7,4.1,1,3
"846",22,4.2,5.7,4.5,5.6,1,3
"847",20,8.5,5.9,4.1,9,5,2
"848",38,2.7,7,3.7,1.4,1,4
"849",24,2.5,6.6,3.9,6.8,4,3
"850",4,8.1,4.9,5.9,7.4,3,1
"851",8,7.7,5.9,4.6,9,5,1
"852",32,1.4,8.1,3.1,1,1,4
"853",21,3.5,5.3,5.3,2.1,1,3
"854",17,5.1,1.5,8.3,4.7,1,2
"855",14,6.9,4.1,5.7,7.3,4,2
"856",7,5,6.2,3.6,4.8,3,1
"857",12,8.6,7.3,3.8,8.7,1,2
"858",31,1,6.8,2.4,1,1,4
"859",9,9,6.7,4.3,9,3,1
"860",28,3.6,3.6,5.6,5,2,3
"861",39,1.6,7.6,4.2,1,1,4
"862",19,6,3.1,7.2,5.1,3,2
"863",10,2.6,6,4.4,3.2,1,1
"864",15,5,2,8.5,2.1,1,2
"865",33,4.6,4.3,7.1,3.4,1,4
"866",3,6.9,4.9,6.4,6.4,2,1
"867",37,1,8.2,2.2,1,1,4
"868",13,8.1,6,2.2,7.7,1,2
"869",2,9,8.5,3.4,9,5,1
"870",34,5,4,8.3,3.3,1,4
"871",36,3.3,5.7,5.8,1,1,4
"872",30,1,8.3,3.2,1,1,3
"873",11,8.3,5.6,6,7.2,2,2
"874",1,7.6,5.4,4.9,7.3,4,1
"875",29,5,4,6.6,5,3,3
"876",40,4.6,4.6,6.2,3.5,1,4
"877",27,5,3.2,6,5,1,3
"878",5,8.7,5.3,8.7,7.9,4,1
"879",23,3.2,4,6.6,5.9,4,3
"880",11,8.6,6,4.8,8.8,2,2
"881",12,7.4,2.7,7.4,7,3,2
"882",14,8.2,6.4,3.7,8.2,5,2
"883",10,3.9,7.1,3.8,4,1,1
"884",30,2.6,6.4,2.7,6.3,5,3
"885",2,6,2.1,7.7,6.3,4,1
"886",20,5.9,3.1,6.8,5,4,2
"887",6,6.6,4.2,6.3,7.1,2,1
"888",15,6.6,2.3,7.8,7.2,1,2
"889",7,7.3,6.6,4.4,7.4,5,1
"890",40,6.1,7,3.6,5.9,2,4
"891",33,3.9,5.9,4.2,4.1,1,4
"892",3,7.9,6.3,4.2,8.1,5,1
"893",31,3.8,5.3,6.2,4.2,1,4
"894",34,2.8,7.3,3.2,4.5,1,4
"895",17,5,2.9,8.1,6,2,2
"896",37,2.7,5.8,3.1,4,1,4
"897",39,3.5,5.1,6.2,4.8,1,4
"898",18,8.4,3.8,6.7,8.7,5,2
"899",9,8.2,6.5,3.9,8.7,5,1
"900",26,4.6,2.1,8.3,6.7,2,3
"901",28,4.3,2.8,6.7,6.2,4,3
"902",24,4,3.2,6,6.6,5,3
"903",38,4.4,5.9,5.9,4.5,1,4
"904",32,3.9,6,6.7,4.7,2,4
"905",25,4.5,3.4,7.7,6.2,2,3
"906",5,6.3,5.3,5.7,6.7,5,1
"907",4,7.1,6.7,5.5,7.4,5,1
"908",22,5.6,3.3,7,6.7,2,3
"909",21,4.5,3.5,7.8,5.7,2,3
"910",36,3.8,6.1,4.2,6,2,4
"911",29,5.7,2.4,6.9,6.5,4,3
"912",1,7.9,6.5,3.6,8.2,5,1
"913",27,5.4,3.8,8.2,6.7,4,3
"914",8,7.5,6.8,3.9,8,5,1
"915",13,7.6,3.7,3.1,7.6,2,2
"916",19,8.4,7,3.2,8.1,5,2
"917",22,5.6,1,7.7,4.2,1,3
"918",27,7.7,6.5,3.7,8.1,1,3
"919",17,5,1,9,1,1,2
"920",24,2,7.4,1.9,8,4,3
"921",28,4.6,2.9,8,6.4,1,3
"922",23,4.7,1.8,9,3.8,1,3
"923",40,6.3,6.4,3.8,6.8,1,4
"924",9,8.2,7.4,2.9,9,5,1
"925",12,6.6,2.9,6.8,7.4,1,2
"926",1,6.8,3.6,8,7.7,5,1
"927",38,2.9,5.7,2.5,2.2,1,4
"928",31,2.9,7.5,1.7,6.9,1,4
"929",30,3.3,3.8,3.5,6.8,2,3
"930",25,2.8,6.8,2.7,6.6,1,3
"931",20,6.8,5.8,3.8,8.2,4,2
"932",29,4.5,4.1,9,6.7,3,3
"933",39,5.1,3.9,7.7,2.6,1,4
"934",34,6.1,6.5,3.6,7,1,4
"935",10,4.4,5.8,6,4.8,1,1
"936",11,8.3,7,3.7,8.6,1,2
"937",7,7.9,6.9,1.9,9,5,1
"938",4,7.2,5.9,7,7.4,5,1
"939",21,5,1.7,8.7,5,1,3
"940",15,6.9,2.8,7.6,7,1,2
"941",32,5,2.9,7.6,5,1,4
"942",2,6.4,4,7.8,6.4,2,1
"943",19,7.3,5.4,3.3,7.9,4,2
"944",14,7.8,6.6,2.4,9,5,2
"945",6,9,3.2,2.8,9,1,1
"946",13,5.5,1.5,9,5,1,2
"947",37,4.4,3.1,7.8,4.1,1,4
"948",26,5,1.7,8.4,5,1,3
"949",36,4.3,4,6.5,2.8,1,4
"950",8,7.7,2.8,2.5,9,5,1
"951",33,3.9,4.6,8.3,3.7,1,4
"952",18,8.4,5.4,3.4,8.6,5,2
"953",5,5.7,2.1,8.8,6.5,3,1
"954",3,6,6,3.6,7.4,5,1
"955",20,8.5,4.3,6,7.7,1,2
"956",34,2.1,6,4.2,1.5,1,4
"957",7,3.4,4.4,5.7,2.9,3,1
"958",37,1.6,6.5,3,1,1,4
"959",32,2.9,6.8,3.4,1.5,1,4
"960",30,3.1,4,6.4,8,3,3
"961",31,5,6.1,5,6.2,1,4
"962",21,4.1,3,7,4.6,1,3
"963",36,3.9,5.4,4.8,2.7,1,4
"964",28,5,2,7.8,6.4,1,3
"965",23,4.7,2.2,6.1,5.4,1,3
"966",39,3,4.5,8.6,2.2,1,4
"967",18,7,3.7,4.2,7.7,5,2
"968",1,5.9,5.8,3.9,5.3,4,1
"969",25,6,2.5,4.4,6.4,1,3
"970",27,7.2,3.4,3.4,7.1,1,3
"971",26,4.6,3.2,7.7,5.3,1,3
"972",33,4.6,6.1,6,4,1,4
"973",2,4.2,5.1,7.4,4.4,2,1
"974",10,5,5,8.4,4.4,1,1
"975",9,7.2,5.8,2,8.1,5,1
"976",13,6.5,3.6,4,7.5,2,2
"977",24,4.3,2.4,7.3,6.3,1,3
"978",4,5.8,6.1,3.6,6,3,1
"979",29,4.6,5.2,3.7,8.4,5,3
"980",38,2.3,5.8,7.5,2,1,4
"981",6,5.8,5,4.9,5.3,1,1
"982",22,4.7,3.6,6.6,4.6,1,3
"983",8,7.1,5.8,3.8,6.7,5,1
"984",15,6.8,3.6,5,5,1,2
"985",5,5,6.1,4.2,5.6,3,1
"986",17,7,3.1,7.1,5.9,1,2
"987",12,8.1,5.9,2.9,6.8,1,2
"988",11,8.6,6,2,7.9,1,2
"989",40,5,6.2,3.5,3.9,1,4
"990",19,7.1,6.2,3.1,6.5,4,2
"991",3,8,6.5,2.8,8.2,5,1
"992",14,8.2,6.6,1,9,5,2
"993",40,5,3.2,5.6,1,2,4
"994",29,6.6,6.4,4.3,9,5,3
"995",38,3.8,5,6.7,1,1,4
"996",18,7.6,5.9,4.5,8.9,5,2
"997",7,6,3.5,6.8,5.5,5,1
"998",34,5,5,6.4,1.7,1,4
"999",1,5,3,7.1,5,1,1
"1000",27,6,5,5.5,7.3,3,3
"1001",19,6.4,4,6.6,6.2,1,2
"1002",28,3.3,5,5.4,7.2,5,3
"1003",2,7.6,5.4,4.5,7,5,1
"1004",13,6.3,3.9,4,8.1,1,2
"1005",6,4,5.6,4.5,5,2,1
"1006",36,1.2,6.9,2.5,2.5,1,4
"1007",33,4.4,4.4,5.6,3.3,1,4
"1008",22,5,5.9,5.2,6.2,1,3
"1009",20,6.9,4.3,5.6,6.9,2,2
"1010",10,4.3,5.8,5.5,5,1,1
"1011",26,6.2,4.1,6.3,7.1,1,3
"1012",25,2.5,6.1,3.7,9,1,3
"1013",12,7.7,5,5,9,1,2
"1014",30,1.8,6.1,3.7,6.5,3,3
"1015",23,3,5.7,4.3,5,3,3
"1016",15,5,3,7,3.6,1,2
"1017",8,7.3,4.6,5.7,8.3,4,1
"1018",37,2.1,6.3,3.2,1,1,4
"1019",21,6,3.9,5.7,6.7,3,3
"1020",3,5,2.2,7.5,5,1,1
"1021",11,5.8,3.4,6.6,5.9,1,2
"1022",32,4.2,5,4.6,2.3,1,4
"1023",4,6.4,5,5.7,6.6,1,1
"1024",24,5,4.2,6.3,7.1,5,3
"1025",31,4.1,4.2,7.3,1,1,4
"1026",5,6.9,5,5.9,8,5,1
"1027",39,5,3.1,6.9,1,1,4
"1028",17,5,1.9,7.9,5,1,2
"1029",9,9,5,4.6,9,5,1
"1030",14,7.4,3.8,6.3,8.9,1,2
"1031",39,3.1,3.2,8.7,1,3,4
"1032",4,5,5,6.8,5,1,1
"1033",8,7.1,7.1,2.9,9,1,1
"1034",18,5,3.2,9,5.2,1,2
"1035",19,5,4.9,8.8,4.9,1,2
"1036",36,3.1,3.9,8.8,1,1,4
"1037",12,7.1,7,4.7,9,1,2
"1038",26,7.1,5,6.9,9,1,3
"1039",20,9,9,1,9,5,2
"1040",38,5,5,9,5,1,4
"1041",23,5,5,8.9,5,1,3
"1042",29,7.1,7,2.8,9,1,3
"1043",11,5,5,8.9,5,1,2
"1044",28,7.2,7,2.9,9,1,3
"1045",33,3.1,5.2,9,1,1,4
"1046",14,5,5,9,5,1,2
"1047",31,3.2,5,9,5,1,4
"1048",3,5,5,8.9,5,1,1
"1049",15,7,7,3.1,9,1,2
"1050",10,7,6.9,2.7,9,1,1
"1051",2,7,6.9,2.8,9,1,1
"1052",9,7.1,7.1,2.7,9,1,1
"1053",30,7,7.2,2.9,9,1,3
"1054",37,1,9,2.8,1,2,4
"1055",40,5.1,5,9,1,1,4
"1056",32,5.1,5,9,1,1,4
"1057",7,5,5.7,9,1,1,1
"1058",34,5,5,8.7,1,1,4
"1059",17,5,5,9,5,1,2
"1060",25,7.1,7.2,2.9,9,1,3
"1061",22,5,5.1,9,5,1,3
"1062",6,7.1,7,3.7,9,1,1
"1063",13,6.9,7,2.6,9,1,2
"1064",27,5,5,9,5,1,3
"1065",24,7.7,7.6,2.7,9,1,3
"1066",21,5,5,9,1,1,3
"1067",5,6.7,7.3,3.1,9,1,1
"1068",1,7.1,7,3.2,9,1,1
"1069",32,4.4,5.7,9,4.5,1,4
"1070",3,7,4.5,7.8,6.9,1,1
"1071",6,7,6.1,7.5,6.7,1,1
"1072",37,8.8,6.6,7.7,7.5,1,4
"1073",30,6.7,4.5,7.8,3.3,1,3
"1074",22,5.2,2.3,8.2,3.4,1,3
"1075",14,5,2.4,6.7,6,2,2
"1076",12,8.2,4.5,6.1,7.1,1,2
"1077",19,7.6,6.1,7.4,6.3,1,2
"1078",36,6.1,5.2,6.8,5.4,1,4
"1079",33,5.1,2.4,7.4,1.8,1,4
"1080",38,5.3,4.9,7.7,4.1,1,4
"1081",2,8.7,6.7,5.1,7.5,3,1
"1082",4,5.1,7,4.5,7.2,2,1
"1083",40,5.2,3.2,7.6,3.4,1,4
"1084",1,5,2.7,7.2,4.2,1,1
"1085",24,6.3,5.2,4.8,8,5,3
"1086",13,5,2.6,7.5,6.4,4,2
"1087",15,6.1,3.7,7.4,5.3,1,2
"1088",8,7.4,3.4,6.2,6.9,1,1
"1089",28,5.6,6.8,7.9,7.9,5,3
"1090",39,5,4.4,8.2,1.8,1,4
"1091",10,5,3.5,7.8,1.5,1,1
"1092",7,9,6.9,4.1,7.8,1,1
"1093",23,5,3.3,8.5,3.1,1,3
"1094",31,5,2.3,8,2.3,1,4
"1095",5,5,6.4,4.1,6.3,2,1
"1096",34,5.3,6.6,4.4,6.4,1,4
"1097",26,5.1,1.6,8.6,3.6,1,3
"1098",20,5.8,2.6,5.7,6.9,5,2
"1099",9,6.9,4.7,6.3,6.5,1,1
"1100",21,5,1.6,9,4,1,3
"1101",27,6.4,4.3,7.1,4,1,3
"1102",29,4.9,5.9,6.3,7.5,5,3
"1103",18,7,2.8,8.1,6.2,1,2
"1104",17,6,3.5,7.9,5.3,1,2
"1105",25,5,1.9,8.9,6,1,3
"1106",11,5.1,3.7,8.3,6.6,1,2
"1107",11,7.2,4,6.7,7.4,2,2
"1108",17,4,4,7.6,2.8,1,2
"1109",30,2,4.4,7.6,7,5,3
"1110",25,6.1,4,7.7,6.5,1,3
"1111",38,1,6,4,1,1,4
"1112",13,7.9,4.5,6.9,7.3,1,2
"1113",32,3.9,6.3,7.7,2.1,1,4
"1114",7,6,6,6.9,5,1,1
"1115",36,2.9,7.4,4.7,2.9,2,4
"1116",31,2.3,6.2,4.5,1,1,4
"1117",6,5.9,4.3,7.5,6.2,1,1
"1118",20,8.1,6,7.8,8,1,2
"1119",1,6.5,6.9,6.7,6.6,1,1
"1120",10,3,6.9,7.7,3.4,1,1
"1121",3,7.1,6.2,7.2,7.6,2,1
"1122",37,3,6.5,4.5,1,1,4
"1123",26,3,3.6,6.6,6.5,1,3
"1124",28,3.3,3.2,6.7,6.6,1,3
"1125",24,3.6,6.4,6.9,6.4,1,3
"1126",12,7,6.2,8.1,7.4,1,2
"1127",29,3.9,3.2,7.1,3,1,3
"1128",40,3.9,7.9,3.8,2.5,1,4
"1129",39,2.9,8.5,1.5,1.2,1,4
"1130",8,7,6.8,7.4,6.5,1,1
"1131",23,3.1,3,7.6,4.1,1,3
"1132",33,3.8,6.7,4.4,2.5,1,4
"1133",18,6.9,2.9,7.6,8.3,1,2
"1134",2,4.2,6.1,7.6,2.5,5,1
"1135",9,6,5.9,6.8,3.4,1,1
"1136",34,4,8.1,2,2.6,1,4
"1137",21,2.8,2.2,6.3,3.2,1,3
"1138",27,6,4.1,7,7.5,1,3
"1139",14,7.8,4.7,7.7,9,1,2
"1140",15,6.6,3.2,7.1,6.9,1,2
"1141",22,4.2,4.1,4.1,3.6,1,3
"1142",4,6.1,6.1,3.9,6.2,1,1
"1143",19,7.1,5.8,7.7,9,1,2
"1144",5,3.9,6.1,4.7,4,2,1
"1145",33,5,1,9,1,1,4
"1146",17,5,1,9,5,1,2
"1147",26,5,1,9,5,1,3
"1148",34,5,1,9,1,1,4
"1149",11,5,1,9,5,1,2
"1150",2,5,1,9,5,1,1
"1151",36,5,1,9,5,1,4
"1152",14,6.9,1,9,9,5,2
"1153",23,5,1,9,5,1,3
"1154",27,5,1,9,5,1,3
"1155",6,5,1,9,5,1,1
"1156",20,7.1,1,9,9,5,2
"1157",12,5,5,9,5,1,2
"1158",40,5,1,9,5,1,4
"1159",10,5,2.3,7.6,5,1,1
"1160",25,5,3.1,7.1,5,1,3
"1161",3,5,2,7,5,1,1
"1162",29,5,5,5,5,1,3
"1163",28,5,5,7,5,1,3
"1164",7,5,5,7.6,5,1,1
"1165",39,4,3.5,9,1,1,4
"1166",13,5,5,6.7,5,1,2
"1167",9,5,5,7.9,5,1,1
"1168",22,5,1,9,5,1,3
"1169",37,1,5,6.8,1,1,4
"1170",31,3.6,5,6.9,1,1,4
"1171",21,5,1,9,5,1,3
"1172",15,5,1,9,5,1,2
"1173",1,5,1,9,5,1,1
"1174",19,5,1,9,6.1,1,2
"1175",4,5,1,9,1,1,1
"1176",38,1,1,9,1,1,4
"1177",24,5,1,9,9,5,3
"1178",32,3.7,1,9,1,1,4
"1179",8,5,5,9,5,1,1
"1180",30,4,2.8,9,1,1,3
"1181",18,6.2,1,9,9,3,2
"1182",5,5,5,6.9,5,1,1
"1183",8,8.3,5.3,4.1,8.8,4,1
"1184",34,2.4,9,2.2,1,1,4
"1185",29,1.6,4.9,2.3,6.6,5,3
"1186",9,9,6.5,1.5,9,5,1
"1187",36,1.4,7.3,3.3,1.8,1,4
"1188",1,7.9,5.3,4,7.8,4,1
"1189",14,7.9,3.1,6.3,8.1,4,2
"1190",6,5.2,6.5,4.2,5.9,1,1
"1191",39,1.5,8.8,1.7,1,1,4
"1192",27,3.7,3.1,7.4,3.9,1,3
"1193",31,1,5.6,4,1.4,1,4
"1194",2,6.3,4,6.9,5.5,2,1
"1195",4,8.2,6.1,4.1,8,4,1
"1196",12,9,1.6,5.6,9,1,2
"1197",13,9,4,5.4,9,2,2
"1198",30,1.1,4.3,1.4,3.5,2,3
"1199",23,1.3,5.4,1.2,1.7,1,3
"1200",19,7.4,2.7,6.7,7.4,4,2
"1201",25,4.6,2.9,7.8,3.8,1,3
"1202",21,1.3,4.1,2.3,6.7,1,3
"1203",33,3.1,8.3,3.8,1.4,1,4
"1204",18,9,4.3,3.5,8.6,4,2
"1205",10,2.6,6.2,3.1,2.2,1,1
"1206",24,1.1,4.1,4.6,3.2,4,3
"1207",15,5.1,2.4,7.3,4.3,1,2
"1208",3,5.9,4.9,4,7.1,4,1
"1209",37,1,9,1,1,1,4
"1210",20,7.4,4.2,6.5,5,1,2
"1211",26,4.8,2.2,7.4,4.9,1,3
"1212",28,1.3,4.2,3.4,2.9,1,3
"1213",7,2.8,5.3,5.7,2.7,2,1
"1214",17,5.1,4.5,7.8,4.5,1,2
"1215",38,1.2,7.1,2.9,1.2,1,4
